	facts
986	I enjoy singing, Magic mike is my favorite movie, I enjoy my job , as a teacher, I live in a big city, I enjoy video games, I live by a lake, I own a custom upholstery shop, I am a mother, I love my grandchildren, I am a wife
987	I fly airplanes, My favorite band is tool, I am in the army, I enjoy building computers, My mom is the best baker in my family, I am in my second year of medical school, I am a hindu living in louisiana, I have two children but i am divorced
988	I get sad a lot, I live with my parents, I am bisexual, I just lost my job and i am looking for something new, I think i might need help, I am dissatisfied with the school life i have had so far, I have one close friend i grew up with, I worry about money even though i am in high school, I wished i was older so i could move out
989	I get sad a lot, I think i might need help, I live with my parents, I m bisexual, I just lost my job and i m looking for something new, I have gone 208 mph for for than 10 minutes, I have more then 10 tattoos, I am in a motorcycle club, I have never lost a fight
990	I get sad a lot, I just lost my job and i am looking for something new, I live with my parents, I think i might need help, I have 2 beagles named chance and boomer, Both of my parents are in the military, I am afraid of spiders, I am a pilot, My girlfriend lives in salt lake city
991	I got a new job, I like cats, I like to travel, I like cars, Favorite color is green, I love dogs and cats, I live in a house, I have a lot of friends, My dad works at the mill and my mom is a teacher
992	I got a new job, Favorite color is green, I like cats, I like cars, My favorite band is nirvana, I am overall happy with life, My car needs some repairs, I am a waitress at a local restaurant
993	I hate broccoli, I design video games for a living, My mom is my best friend, Rock music is my favorite, I am afraid of the dark, I enjoy playing with edged weapons, I like watching videos of surgery, My favorite ice cream is pistachio, Britney spears is a wonderful singer who really touches me
994	I hate broccoli, I design video games for a living, Rock music is my favorite, My mom is my best friend, I enjoy video games, I work at a hotel overnight, Kpop is my favorite music, I eat more junk food than i really should, I write in my spare time
995	I hate cleaning, I work in finance, I m italian american, I paint with watercolors, My favorite color is blue, I love to dance, I love disney movies, I am on a competitive dance team, I am in high school, Ariel is my favorite princess
996	I hate cleaning, I work in finance, I am italian american, I paint with watercolors, I graduated college in 2016, My class has 26 kids, I teach at a large school, I enjoys kayaking in my free time
997	I hate cleaning, I paint with watercolors, My favorite color is blue, I m italian american, I have a pug named corky, I was born completely deaf, I am single and go on dates regularly, My favorite place to go is the mall, I enjoy playing tennis
998	I hate cleaning, My favorite color is blue, I paint with watercolors, I work in finance, I m italian american, I am a dancer, I am a vegetarian, I can play the piano, I love to sing
999	I hate to drive, I am younger then 46, I like the taste of cheese, I need to take 4 pills a day to live, My mom is a janitor, I am in college, I still live at home, I listen to death metal
1000	I hate tomatoes, I am a female, I need a wheel chair to get around, I have 2 kids, I escaped and later became a carpenter, My favorite color is red, I got married 10 years later, I was the first born child, I was a slave for 10 years
1001	I hate tomatoes, I have 2 kids, I need a wheel chair to get around, I am a female, I am in college, I have a crummy job at scrubway, I enjoy playing video games, I live life to its fullest
1002	I hate tomatoes, I am very short, I have 2 kids, I am a female, I need a wheel chair to get around, I enjoy cooking but not baking, I enjoy a good run, I am a stay at home mom, I like things in organized
1003	I hate tomatoes, I am very short, I need a wheel chair to get around, I have 2 kids, My motor never stops running, I work on semi trucks for a living, My father was a driver himself, I want to take her on vacations one day
1004	I hate tomatoes, I am very short, I need a wheel chair to get around, I have 2 kids, I worked at a movie theater for 4 years, I am saving up to buy a new camera, I like spicy food, I have always had long hair
1005	I hate tomatoes, I need a wheel chair to get around, I have 2 kids, I am very short, I am a female, My favorite flower is a daisy, I love to sing, I am dating my boss, I am in my 20s
1006	I have 3 thumbs, I think the moon landing was faked, I like the color red, I can type 140 words per minute, I talk very fast, My favorite tv show is friends, I have a timeshare in mexico, I own my own business, My favorite food is sushi, My brother lives in england
1007	I have a garden, My favorite book is enders game, I like to read, I grew up in kentucky, My favorite tv shows are forensic files and jeopardy, I love most music except country and jazz, My favorite book that i have read lately is middlesex, My favorite food is anything italian, I am a gym rat that loves to play racquetball
1008	I have epilepsy, I have one son, I like to go swimming, I like to read, My parents are not married anymore, I speak english and spanish fluently, I am from germany, I like listening to blues music, My favorite artist was prince, I am mixed with puerto rica and chinese
1009	I have epilepsy, I like to read, My parents are not married anymore, I like to go swimming, I have one son, I like to run so that i can clear my head, I am an author, I like to drink green tea, I love to write stories while sitting in the grass in my back yard, I enjoy watching mystery movies
1010	I have freckles, I love laughing, I love wearing flip flops, My best friend is from tanzania, I like to bake brownies, I m scared of clowns, I have two roomates, I like to cook, I live on the third floor in an apartment, I have two dogs
1011	I have freckles, I like to bake brownies, My best friend is from tanzania, I love wearing flip flops, I love laughing, My newest car is a chevy, I work at a power plant, I like to eat spaghetti, My favorite thing to do is read, I live in california
1012	I have red hair, I am a runner, I like tall men, I have 2 dogs, I have a small pet cat, I am currently going to school to be an artist, My favorite flower is a rose, I am twenty one years old
1013	I have red hair, I have 2 dogs, I enjoy reading and cooking, I am a runner, I like tall men, I recently discovered a new love for indian food, I am gong to adopt a dog very soon, My mother was a nurse, I have played since i was 4 years old, I am a violinist
1014	I have red hair, I moved far from home, I like to eat meat, My family owns a farm, I am skilled in computer repair, I am a guy that enjoys being a guy, I am close to my mother , but not to my father, My favorite thing to eat is a burrito, I love to binge watch shows on streaming services, I like to hike and spend time outdoors
1015	I have red hair, I like to ride my scooter, I don t like music, I have lots of friends, I prefer to live where the weather s cold, I m really excited to see how game of thrones ends, I m deathly terrified of heights, Winter s my favorite time of the year
1016	I have red hair, I live close to the coast, I work at a retail store, I enjoy walking on the beach, I am vegan, I am single, My favorite food is salad, I enjoy nature, My mother was a teacher
1017	I have red hair, I enjoy walking on the beach, I live close to the coast, I work at a retail store, I have a french bulldog, I love the band red hot chili peppers, My feet are size six women s, I play bass
1018	I have two cats, I need extra iron in my diet, I have two children under ten, I have allergies, I am a vegetarian, I dislike animals
1019	I have two dogs, I am male, I lease my car, I work in accounting, I am a cheerleader, I enjoy the outdoors, I have black hair, I am 21 years old
1020	I have two dogs, I lease my car, I work in accounting, I like potatoes, I am male, I speak fluent italian, I have one blue eye and one hazel eye, My brother is an archaeologist, I am a cat owner, My mom is an osteopath
1021	I have two dogs, I like to cook, I m scared of clowns, I have two roomates, My hair is a reddish brown, Although i ski down high hills , i have a fear of heights, I am a competitive ski racer, My family is very supportive of my skiing
1022	I have two dogs, I like potatoes, I work in accounting, I lease my car, My parents have been married for 40 years, I am a proofreader for a greeting card company, My favorite movie is goodfellas, I enjoy watching football and hockey games
1023	I have two kids, I am fairly conservative in politics, I work at amazon, I live in a rural community, I love robotics, I work out to look good, I work in marketing , and i love it, I spend a lot of time on my hair and make up, I m an only child
1024	I have two kids, I am fairly conservative in politics, I live in a rural community, I love robotics, I do not like being asked a lot of questions, I think about food a lot, I do not like when people get too close to me, I have a shopping addiction
1025	I like antiques, I like jazz, I am a romantic, I collect dolls, I like victorian things, I i love logical and rational thinking, I am very good at math and science, I am considered a nerd by many, I started working at google last week on self driving car research, I love computers
1026	I like antiques, I like victorian things, I collect dolls, I am a romantic, I like jazz, I drive a ford truck, I have been married 3 times, I hate the holidays, I am a police officer
1027	I like burritos, I like to shop, I like pizza, I like to dance, Both my parents were over 6 foot tall, I am a democrat, I like to only eat fish, I can jump straight up , out of a pool
1028	I like cartoons, I am in college, I still live at home, I listen to death metal, I have a lot of trophies from my childhood, I ca swim very fast, I love to sing, My favorite past time is cooking, I love to run
1029	I like cartoons, I listen to death metal, My mom is a janitor, I still live at home, I am in college, I could eat meatloaf every night and never get tired of it, I can t get enough of lindsey stirling s music, I enjoy putting alcohol in my coffee, If i were to be reincarnated , i d want to come back as a hippopotamus, I smoke two packs of cigarettes most days
1030	I like cupcakes, I like to read, I work at a grocery store, My favorite color is blue, I currently suffer from social anxiety, I am a geology major at alabama university, I never have had alcohol in my life, I have a girlfriend of 7 years
1031	I like cupcakes, My favorite color is blue, I have brown hair, I like to read, I want to be a doctor, I play dungeons and dragons, I love the band van haven, I wear a lot of purple
1032	I like cupcakes, My favorite color is blue, I have brown hair, I like to read, I work at a grocery store, I was a navy brat and have attended 16 schools in 12 years, I make friends fast and say goodbye fast, I kayak at the lake on weekends, I chew my nails, I am studying to be a special education teacher
1033	I like cupcakes, My favorite color is blue, I have brown hair, I work at a grocery store, I like to read, I want to get married again, I wish my boyfriend didn t want an open relationship, I m angry at my coworker, I m not going to go the extra mile anymore
1034	I like football, I am a christian, My father used to work for microsoft, My favourite band is kings of leon, My sister is becoming my mother and often asks me when i m getting married, I am not a big fan of waiting in line, I often think about quitting my job and becoming a roadie for justin bieber, I still have a photo from my senior prom in my wallet
1035	I like football, I work in the it industry, My favourite band is kings of leon, I am a christian, My father used to work for microsoft, Going to the beach is my favorite past time, I love pizza, My son is a football player, I am an american citizen, I like reading mystery novels
1036	I like football, We drink beer and eat food, We watch the games together, It s great fun, My friends like watching it to, I live in a medium sized city, I have 3 sisters and 2 brothers, I love to read, My favorite place to spend time at is the beach
1037	I like football, We drink beer and eat food, My friends like watching it to, Its great fun, Before i die , i want to skydive, I have a pet snake, My dream is to move to the middle of the desert, I start an internship in engineering later this year, I am a famous video game character online
1038	I like football, We watch the games together, My friends like watching it to, It s great fun, We drink beer and eat food, I prefer the night instead of the day, I have woman calling me all the time, I was once offered to play basketball professionally, I love wearing name band clothing, I spend my evening creating the perfect music playlist
1039	I like football, My friends like watching it to, Its great fun, I have a golden retriever, I like to hike, I work in advertising, My mother is dead
1040	I like football, My friends like watching it to, We drink beer and eat food, It s great fun, I enjoy ice cream, My husband just decided to leave me, The kids will be my responsibility as my husband doesn t want them, I am 50 years old
1041	I like potatoes, I work in accounting, I have two dogs, I lease my car, I m allergic to shellfish, I love going to concerts and dancing hard, My favorite food is cheese, I work at a non profit that helps children
1042	I like sleeping, I write, I have brown hair, I watch youtube videos, I have a sweet tooth, I am the middle child of 3 siblings, I drive a mercedes, I am getting married in six months, I am a babysitter
1043	I like sleeping, I write, I watch youtube videos, I have brown hair, I work at mcdonald s, I don t get along with my family, I wish that i could be an animal, I wonder about what life in space would be like, Regular life disappoints me, I enjoy classical music
1044	I like sleeping, I write, I watch youtube videos, I work at mcdonald s, I have brown hair, I have never been to canada, My favorite food is steak, I get up at 4am everyday, I live in a condo
1045	I like swimming, I love spicy food, My mother is a housemaid, I am an only child, I am a mother of three, I am thinking of becoming a mother next year, I love to eat pita bread with hummus, I am bipolar, I go to work early in the morning as a nurse
1046	I like swimming, I love spicy food, I have traveled to europe and mexico, I am an only child, My favorite animal is the panda, I am a zookeeper, I love to read crime novels, My right foot only has 3 toes
1047	I like swimming, I only have three best friends, I am a girl who loves sports cars and video games, I am a fourteen year old living with my mom and grandparents, I work at an accounting firm, I ride horses in my spare time, I don t believe in love, I am adopted, I am an only child
1048	I like swimming, I only have three best friends, My favorite thing to do is research race cars in my free time, I am a fourteen year old living with my mom and grandparents, Superman s my favorite super hero, Chocolate chip cookies are the tastier things in my opinion, I talk a lot in irc, I drive only toyota
1049	I like swimming, I have traveled to europe and mexico, My mother is a housemaid, I love spicy food, I am an only child, I love helping people, I retired so i can spend more time with my husband and helping people, My favorite food is pasta, I live in a rural area
1050	I like tall men, I am a runner, I have 2 dogs, I have red hair, I am 5 7 tall, Everyday after work i buy my dog a dog biscuit, I try to take a break and see a movie in theaters every other month, I live in a house in california, I currently work at target
1051	I like tall men, I am a runner, I have red hair, I have 2 dogs, I really enjoy hiking, I watched the eclipse without using proper eye protection, I m deathly afraid of snakes , but not bugs, My favorite color is red, I drink 10 cups of tea every day
1052	I like tall men, I enjoy reading and cooking, I have 2 dogs, I have red hair, I love reading mysteries in my free time, I went to college in chicago, I am the youngest of 3, I love playing tennis
1053	I like to dance, I am a girl, I am in preschool, I like to play outside, I listen to classical music, I enjoy golfing, I work for a large law firm, I am married with three kids
1054	I like to dance, I am a girl, I am in preschool, My favorite animal is a zebra, I work part time at a pizza restaurant, I am in college, I love the beach, My major is business
1055	I like to dance, I love shoes, I like pizza, I like to shop, I have perfect pitch, As a child , i won a national spelling bee, I have been published in the new yorker magazine, I have a severe phobia of wide open spaces, I am a gourmet cook
1056	I like to dance, I love shoes, I like burritos, I like pizza, I ran into jimmy fallon just the other day, I play the piano, I make my own clothes, I am going bald, I hate flowers
1057	I like to dance, I like burritos, I like pizza, I like to shop, I love shoes, I think recycling is important, I am from california, I am a student, I like to shop at goodwill, I like to be outdoors
1058	I like to dance, My favorite animal is a zebra, I am in preschool, I am a girl, I like to play outside, My mother was a concert pianist, I have one little girl, My wife is a college professor, I graduated top of my class
1059	I like to drink, I live alone, I shop online , too much, I don t believe in love, I have a black lab, I love to fish, My favorite musician in charlie daniels, I am married
1060	I like to drink, I don t believe in love, I live alone, I write children s books, I shop online , too much, I like to upcycle my thrift shop finds and make new items, I am an art teacher, I like to sew my own clothing, I enjoy clothing with exotic prints
1061	I like to drink, I write childrens books, I live alone, I shop online , too much, I do not believe in love, I love the natural world beauty, I practice yoga and hike, My family is poor, I believe in fairytales, I am obsessed with animals
1062	I like to drink, I do not believe in love, I shop online , too much, I write childrens books, I live alone, I live on the third floor in an apartment, I have two dogs, I like to cook, I have two roommates, I am scared of clowns
1063	I like to drink, I shop online , too much, I write children s books, I don t believe in love, I live alone, I get along better with animals than people, I have several different breeds of pets, I enjoy watching animal videos on the internet, I m always looking for wildlife when i m outside
1064	I like to paint, I am a vegan, I traveled around the world in a boat, I have 23 cats at home, I hate the taste of fish, I hate to lose, I love fishing, My favorite season is spring, My father died when i was 2, I have blue eyes
1065	I like to paint, We have two sons, I enjoy visiting museums, I like to attend wine tours, My husband is 20 years older than me, I love to read, I learned how to reads when i was three, I can read in english and french, I read three books a week, I dropped out of high school
1066	I like to paint, We have two sons, I like to attend wine tours, I enjoy visiting museums, I recently had a private lunch with will ferrell, I am trying to become a male model in hollywood, I am a huge fan of classical jazz, I am on a low carb diet
1067	I like to paint, I have 23 cats at home, I am a vegan, I hate the taste of fish, I traveled around the world in a boat, I have never lost a fight, I have more then 10 tattoos, I have gone 208 mph for for than 10 minutes, I am a grown woman
1068	I like to paint, I hate the taste of fish, I have 23 cats at home, I traveled around the world in a boat, I am a vegan, My favorite band is nirvana, My car needs some repairs, I am a waitress at a local restaurant, I am a casual dresser
1069	I like to paint, I like to attend wine tours, I enjoy visiting museums, We have two sons, My husband is 20 years older than me, I am strong, I never eat veggies, I am tall, I am young
1070	I like to paint, I traveled around the world in a boat, I have 23 cats at home, I am a vegan, I m from california, I like to be outdoors, I m a student, I like to shop at goodwill
1071	I like to party, I love the beach, I work part time at a pizza restaurant, I am in college, I love eating shrimp , and i like to dip them into barbecue sauce, I enjoy eating pumpkins, I use third party programs to read portable documents instead of adobe, I enjoy watching videos on youtube, I have a small beagle dog who i call droopy
1072	I like to skate, I sing in a punk band, I want to visit the uk, My favorite color is black, I am a professional skittles player, My favorite mlb player is bartolo colon, I am known as the iron skittler in the skittles universe, I have never had candy in my life
1073	I like to skate, I sing in a punk band, I sometimes write poetry, I want to visit the uk, My favorite color is black, I will be moving to san diego in two months, My mother was a famous ballet dancer in london, My favorite band is the punk band rancid, I am twenty six years old this may, I work at a gas station as a cashier
1074	I like to skate, I sometimes write poetry, I sing in a punk band, My favorite color is black, I want to visit the uk, I need certain medications to live, I like the band queens of the stone age, I like fast food too much, I have won an olympic medal, I skydive frequently
1075	I like to skate, My favorite color is black, I sing in a punk band, I sometimes write poetry, I vacation in florida every winter, I was a champion downhill skier in college, My sister is a published author, I sing karaoke every thursday night
1076	I listen to rap, I drive a black car, My favorite food is steak, I like meat, I am working in finance, I like to role play, My favorite food is pizza, I love cars, I do not like animals
1077	I live in texas, I was born premature, I have one older sister named mary, My dad is journalist for the new york times, My favorite artist was prince, I like listening to blues music, I am mixed with puerto rican and chinese, I speak english and spanish fluently, I am from germany
1078	I love children, I am twenty two years old, I just moved into an apartment within the vicinity of my new job, I just accepted a job at the elementary school in my hometown, I just graduated college with my bachelor s degree in education, My husband is a firefighter, My favorite food is sushi, We have two kids, I graduated with a nursing degree
1079	I love children, I am twenty two years old, I just moved into an apartment within the vicinity of my new job, I just graduated college with my bachelor s degree in education, As a child , i won a national spelling bee, I have a severe phobia of wide open spaces, I have been published in the new yorker magazine, I am a gourmet cook
1080	I love children, I just moved into an apartment within the vicinity of my new job, I am twenty two years old, I just graduated college with my bachelors degree in education, I just accepted a job at the elementary school in my hometown, I still live at home with my parents, I eat all take out, I am 32, I do not want a job
1081	I love iced tea, I m terrified of heights, I believe that mermaids are real, I have four sisters, My mom is my best friend, I was raised by two mothers, I can be quite forgetful, I am not afraid of what others think, My boyfriend works for nasa
1082	I love laughing, I like to bake brownies, I have freckles, My best friend is from tanzania, I love wearing flip flops, I am a widow, I like taking pictures, I want to travel the world taking photographs of my travels, I want to put my photos to a music video staring adam levin, I want to be a famous photographer
1083	I love laughing, I love wearing flip flops, I like to bake brownies, I have freckles, I read three books a week, I dropped out of high school, I love to read, I can read in english and french, I learned how to reads when i was three
1084	I love laughing, I love wearing flip flops, My best friend is from tanzania, I like to bake brownies, I went on welfare last month , which makes me want to run into traffic in front of big trucks, My favorite band is creed, I am a carnivore, My father is in prison, I enjoy running
1085	I love the rain, I prefer winter, I drive a van, My favorite food is pizza, My dream job is a to become a baseball announcer, I watch south park at least once a day, My favorite band is avenged sevenfold, I currently hold three jobs, I recently proposed to my girlfriend of three years
1086	I love the rain, I sleep on a single bed, I drive a van, I prefer winter, My favorite food is pizza, My mom is a palm reader in new orleans, My favorite food is shrimp, I sometimes spend too much money at the casino, I love hanging out with my friends, I once met a man i still believe was a vampire
1087	I love the rain, My favorite food is pizza, I drive a van, I sleep on a single bed, I am a secretary, I enjoy swimming, I like tacos, I have 3 cats
1088	I love to clean, I am a stay at home mom, I love fast food, I watch a lot of movies, I am the oldest of 5 children, I love to climb, I ve never been to the beach, I love my parrot , todd, I m a disappointment to my family
1089	I love to clean, I watch a lot of movies, I am a stay at home mom, I love fast food, I do not have much energy, I sometimes think i am shallow, I want a dog , but that is a lot of commitment, If i want it , i buy it, My mother is a professional make up artist
1090	I love to clean, I watch a lot of movies, I do not have much energy, I love fast food, I am a stay at home mom, I used to work for monsanto, I enjoy swimming, I enjoy shopping online, I read fantasy fiction novels, I am a mother
1091	I love to climb, I am the oldest of 5 children, I ve never been to the beach, I love my parrot , todd, I am an angry person, I drive a jag, I like to go to bars and people watch, I don t have a lot of family members that i like
1092	I love to climb, I have never been to the beach, I love my parrot , todd, I am a disappointment to my family, I am the oldest of 5 children, I like ice cream, I love rock music, I am taking courses online, I work as a contractor for a cab company, I am engaged
1093	I love to dance, I am witty, I don t eat meat, I love sharks, I read tons of books, I like to go for runs, I live by myself, I have a dog and two cats, I play the guitar
1094	I love to dance, I am a teacher, I grew up in new hampshire, My favorite food is mexican, I went to japan this summer, I start my senior year of high school next week, My mom is a painter, My favorite sport is hockey
1095	I love to dance, I don t eat meat, I am witty, I love sharks, I m never still, I fix airplanes for a living, I drive junk cars that no one else wants, I prefer vinyl records to any other music recording format
1096	I love to dance, I like to go running, I have asthma, I used to play hockey, I think i might need help, I get sad a lot, I am bisexual, I just lost my job and i am looking for something new, I live with my parents
1097	I love to dance, I work at a coffee shop, I drive a prius, My mom was a hairdresser, My favorite color is red, I enjoy cooking italian food, I am obsessed with my dog, I m in my last year of grad school, I love trips to the beach, I m the world s best aunt
1098	I love to dance, My favorite food is mexican, I am a teacher, I enjoy reading history books, I grew up in new hampshire, I love katy perry, I drive a ford taurus, I work in retail, I spend too much time shopping
1099	I love to dance, I am on a competitive dance team, I love disney movies, I am in high school, Ariel is my favorite princess, I like to drink at bars with friends, I love dogs, I have a sleeve of tattoos, I have 4 dogs and i spend all my time with them, I am a photographer
1100	I love to laugh, I have a son, My husband works for the government, I like going on walks, I m an actress and i work at a grocery store, I take great care of my skin, I think i ll be famous one day, I like to dress up for other people
1101	I love to laugh, My husband works for the government, I run a small bakery, I have a son, I am very smart, I wear contacts, I love the outdoors, I love to drink whiskey, I work as a janitor
1102	I love to paint, I am a graphic designer, I am currently single, I enjoy walks on the beach, My favorite season is spring, I can t eat them but they re pretty, I drink beers and go to the creek, I like fishing, I usually catch sunfish
1103	I love to paint, My favorite season is spring, I enjoy walks on the beach, I am currently single, I need to use an inhaler sometimes, I have a crush on my co worker, I play tabletop games with friends, I love rpg computer games, I still live at home
1104	I own 9 guitars, I am a vegan, I learned piano at age 6, I am trying to play in a local band, I think i am failing my women studies class, I drive a blue honda civic, I am scared of left turns, I got hired last week at mcdonald
1105	I own 9 guitars, I learned piano at age 6, I am a vegan, I am trying to play in a local band, I have a black belt in karate, My favorite drink is iced coffee, I m in a jazz band and play the saxophone, I vacation along lake michigan every summer
1106	I own an iphone, I am writing a novel, My favorite color is black, I do not like pickles, I love to read, My favorite place is the beach, I am married, Teaching is my passion
1107	I own an iphone, My favorite color is black, I am writing a novel, My favorite tv show is rick and morty, I don t like pickles, I have lots of friends, My name is nick, I have red hair, I like to ride my scooter
1108	I own an iphone, My favorite color is black, I am writing a novel, My favorite tv show is rick and morty, I don t like pickles, I have a severe phobia of wide open spaces, As a child , i won a national spelling bee, I am a gourmet cook, I have perfect pitch
1109	I own many cars, I like watching sports, Ferrari is my favorite car company, I work out daily, I love eating barbeque sandwiches and pizza puffs, I enjoy hanging out with my imaginary friends as a hobby, My favorite show is tom and jerry, I live down the street from miley cyrus and pnb rock
1110	I play football, I eat well, I am very social, I am in college, I live near the ocean, I own a boat, I only wear tennis shoes, My favorite author is jane austen, I eat a lot of fish
1111	I play football, I am an athlete, I had 128 tackles last year, My position is linebacker, The name of my team is the baltimore ravens, I like to take my dog for long walks, I have a lizard named ragini, I enjoy cooking for people, I like to plant flowers in my gardens, My mother lives with me
1112	I play football, I am very social, I am in college, I exercise, I eat well, I love to clean, I am a stay at home mom, I do not have much energy, I love fast food
1113	I play football, I have a pet iguana, I like to play video games, I work at mcdonald s, My favorite movie is star wars, I am a vegan, I like to ride my bike, I have 3 dogs and 2 cats, I work as a vet
1114	I play football, I like action movies, I drive a restored mustang, I am a college student, My father is a doctor, I have two siberian huskies, I play guitar, I have four daughters
1115	I play football, I work at mcdonald s, I like to play video games, My favorite movie is star wars, I have a pet iguana, I like to perform stand up comedy, My sister belongs to a cult and has not spoken to the family in years, My father was a member of the communist party, I have a career in party planning, I enjoy deep sea diving
1116	I play football, I like to play video games, I have a pet iguana, My favorite movie is star wars, I work in car sales, I drive an acara, My wife is a hairdresser, My favorite beer is coors
1117	I play football, I like to play video games, I have a pet iguana, My favorite movie is star wars, I work at mcdonald, I am a writer, I live in springfield , mo, I try to go hunting with my brothers several times a year, I love to barbecue, I just bought my first home
1118	I play football, My favorite movie is star wars, I work at mcdonald s, I like to play video games, I have a pet iguana, I am leaving for college in three months, I am vegan, My father is a mechanic, My favorite band is muse, I work at walmart as a stocker
1119	I play football, The name of my team is the baltimore ravens, I am an athlete, I had 128 tackles last year, My position is linebacker, I am a steelers fan, I enjoy broadway shows, I am a psychology major, I love to travel
1120	I play the bass, I like vintage furniture, I collect stamps, Favorite band is the beetles, I have a large cd collection, I sometimes think i am shallow, I love to go outside at night and eavesdrop on my neighbors arguments, My mother is a professional make up artist, If i want it , i buy it
1121	I play the bass, I have a large cd collection, I collect stamps, I like vintage furniture, My father is from india, My mother is from greece, I love cooking !, I like to swim when the weather is hot
1122	I play the bass, I have a large cd collection, I collect stamps, I like vintage furniture, I wish i had a real dragon i could train, My suspenders sometimes make my shoulders hurt, I enjoy playing retro video games on my 386, I have ink stains on all my shirts, My cats name is leroy jenkins
1123	I prefer summer, I love butterflies, I do not like dresses, My favorite hero is flash, I enjoy jazz music from when i was a girl, My left knee is filled with metal, I have 3 dogs and a parrot, My family means the world to me, I play bingo every wednesday with my husband
1124	I prefer summer, I don t like dresses, I type one handed, I love butterflies, I am not very good at playing basketball, I don t really like vegetables or fruit but i pretend, My family owns a dairy farm, I once rescued a baby on a highway, I like playing badminton
1125	I prefer summer, I don t like dresses, My favorite hero is flash, I love butterflies, I type one handed, We have two sons, I like to attend wine tours, My husband is 20 years older than me, I enjoy visiting museums, I like to paint
1126	I prefer winter, I drive a van, My favorite food is pizza, I love the rain, I am a fan of system of a down, I am a vegan, I learned piano at age 6, I own 9 guitars, I am trying to play in a local band
1127	I prefer winter, My favorite food is pizza, I sleep on a single bed, I love the rain, I enjoy hiking, My mother has her own fashion brand, My favorite artist is bob ross, I am a vegan
1128	I run marathons, I am a weightlifter, I love the all american rejects, I despise sweet potatoes, I eat a lot of carbs even though my doctor tells me not to, Just this past week i got a job cleaning gutters, I spend every waking hour i can at the archery center, My favorite singer is jess greenberg, I ride a motorcycle , but it s not a harley
1129	I run marathons, I despise sweet potatoes, I have three great danes, I am a weightlifter, I love the all american rejects, I like to come up with new hairstyles, I like to do my nails, I like to play volleyball, I like to pickle eggs
1130	I sleep 8 hours, I use the computer all day, I prefer texting over phone calls, My mother looks after my grandmother, I like to use candles instead of lights, I love photography, I do not like waking up early, I enjoy spending a lot of money on my hobbies
1131	I sleep 8 hours, I prefer texting over phone calls, I love hockey, My mother looks after my grandmother, I use the computer all day, I love to travel, My favourite food is ice cream, My parents are divorced, I work as a construction worker during the summers, I am a college student
1132	I surf everyday, People say i can cook well, I can play piano, I work at a bar, I like to listen to country music, I can speak three languages, I cook well, I like to bike, I love being in nature, My mother is a teacher
1133	I surf everyday, I like to listen to country music, I work at a bar, People say i can cook well, I m a vegetarian but i eat fish , especially sushi, My parents pay my rent, I love my dog, I graduated college and immediately went to graduate school, I like to shop
1134	I used to smoke, I have 10 piercings, I like to drive for hours, I can t live without my friends, My favorite food is italian, My favourite colour is green, I am a baseball player, I like to read books about chinese history, My dog is called alfred, I can play the piano
1135	I used to smoke, I like to drive for hours, I have 10 piercings, My favorite food is italian, I am single, My father used to be a cop, I am a cyclist, I work at a restaurant as waiter
1136	I wear contacts, I hate carrots, I have brown hair, I am very athletic, I love bicycling, I am a competitive ski racer, I broke my arm skiing once, Although i ski down high hills , i have a fear of heights, My family is very supportive of my skiing, My hair is a reddish brown
1137	I wear contacts, I hate carrots, I am very athletic, I have brown hair, I love sunny days, I do not like feeling obligated to hang out with someone, I love winning, Coffee is important to me, I can tell right away if i am going to like someone
1138	I wear contacts, I have brown hair, I love bicycling, I hate carrots, I have a large mustache, My girl friend lives in the condo next door, I am a retired newspaper reporter, I live in a condo
1139	I wear contacts, I love the outdoors, I love to drink whiskey, I am very smart, I am a 43 year old woman, I have two full sleeves of tattoos, I work as a freight truck driver, My hair is short and pink
1140	I wear contacts, I work as a janitor, I am very smart, I love the outdoors, I love to drink whiskey, I like jogging in my spare time, I also give blood monthly in honor of my sister who died, I am a waitress at a popular houston club, I am hoping to move to australia soon to marry my boyfriend
1141	I wear contacts, I love to drink whiskey, I am very smart, I love the outdoors, I am a yoga instructor, My wife works as a diesel mechanic, I hope to visit quebec , canada someday, I love watching old movies
1142	I work as a vet, I like to ride my bike, I am a 30 year old female, I am a vegan, My favorite thing to do is sleep, I love ergonomic keyboards and chairs, I love ergonomic keyboards and chairs, My favorite thing to do is sleep, I just bought a new pair of sneakers and they feel great
1143	I work as a vet, I have 3 dogs and 2 cats, I am a 30 year old female, I like to ride my bike, I am a vegan, I love dogs , especially labradors, I am traveling to paris this year for my vacation, I work in the pharmaceutical industry, I was born in san francisco
1144	I work as a vet, I am a 30 year old female, I have 3 dogs and 2 cats, I like to ride my bike, I am a vegan, My mother stayed at home all day to raise me and my siblings, My father used to be an insurance salesman, I cannot stand salads, I graduated valedictorian of my high school class
1145	I work at a bar, I can play piano, I like to listen to country music, People say i can cook well, I am a guy that enjoys being a guy, My favorite thing to eat is a burrito, I love to binge watch shows on streaming services, I like to hike and spend time outdoors, I am close to my mother , but not to my father
1146	I work at a vet, I have 3 dog, I have 2 kids, My husband is a lawyer, I love flowers, Going to the beach is my favorite past time, I am an american citizen, I love pizza, My son is a football player, I like reading mystery novels
